1737879374.1864223 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x35
1737879374.1875064 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0x1f, 0xff
1737879374.194106 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xfa
1737879374.1951034 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xf4
1737879374.1961055 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0xa0, 0x6
1737879374.205713 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xf0
1737879374.2077074 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x2f
1737879374.2106957 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x0, 0xc
1737879374.2182245 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x75
1737879374.2196352 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x57
1737879374.2207336 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879374.2262251 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x7f
1737879374.2274454 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x35
1737879374.228494 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0x40, 0x6
1737879374.2374005 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xfa
1737879374.2384002 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xf4
1737879374.239398 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879374.247376 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xf0
1737879374.2493691 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x2f
1737879374.2513692 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x3, 0x0, 0x14
1737879374.252361 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0xff, 0xc0, 0x31, 0x6c
1737879374.2639823 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.26498 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.2659771 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879374.2729568 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
1737879374.2739563 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.2749913 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879374.287204 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
1737879374.2882056 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.289198 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x0, 0xc
1737879374.2931876 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.2941866 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.2951837 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879374.3046744 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.3066678 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.3086634 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0x40, 0x6
1737879374.314648 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
