1737880060.3373744 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x40, 0x0, 0x2, 0xc7
1737880060.3403666 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x3, 0x5
1737880060.3413658 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0xe1, 0x83
1737880060.3463516 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.3503532 CAN1, ID=0x54a, DLC=8, 0x12, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880060.3513377 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.353332 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x0, 0x2
1737880060.35433 CAN1, ID=0x54c, DLC=8, 0x59, 0xff, 0x0, 0x0, 0x0, 0xf8, 0xff, 0x0
1737880060.3553262 CAN1, ID=0x54f, DLC=8, 0x14, 0x0, 0x0, 0x0, 0x4, 0x80, 0xc0, 0x14
1737880060.356324 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737880060.359317 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.3633082 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x1, 0x3
1737880060.3643064 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.3673117 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x1
1737880060.3682966 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfd, 0xff, 0xff, 0xf8, 0x0, 0x0
1737880060.373283 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.3752735 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x2, 0x4
1737880060.3762746 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.377268 CAN1, ID=0x56e, DLC=1, 0x46, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.381262 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.3832517 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x3, 0x5
1737880060.3852472 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.3862445 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.3932257 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x0, 0x2
1737880060.3942235 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.396217 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.3982124 CAN1, ID=0x1da, DLC=8, 0xff, 0x0, 0x0, 0x0, 0x7f, 0xfe, 0x1, 0x97
1737880060.401205 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.4051933 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.4081862 CAN1, ID=0x1da, DLC=8, 0xff, 0x0, 0x0, 0x0, 0x7f, 0xfe, 0x2, 0x9d
1737880060.4111767 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.4151707 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.4181633 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xfe, 0x3, 0xc1
1737880060.4201567 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.4241416 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.4271355 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0x2d
1737880060.4281344 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x24
1737880060.429132 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xfe, 0x0, 0xcb
1737880060.4311252 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.435114 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.4381058 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7b
1737880060.4410977 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.4440908 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.4470809 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x1, 0x87
1737880060.4480782 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x71
1737880060.4500766 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880060.451071 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.4530656 CAN1, ID=0x54f, DLC=8, 0x32, 0x0, 0x0, 0x0, 0x4, 0xc0, 0xce, 0x45
1737880060.454062 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737880060.4560566 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.4590478 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x56
1737880060.460045 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.4610455 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0xa
1737880060.4620407 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfd, 0xff, 0xff, 0xff, 0xfe, 0x0
1737880060.4650376 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.4680257 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x2, 0x88
1737880060.4710214 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x5c
1737880060.4730113 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.4740078 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.476003 CAN1, ID=0x56e, DLC=1, 0x46, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.477998 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7b
1737880060.4799933 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.4839838 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.4859774 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x3, 0x89
1737880060.4889698 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x71
1737880060.4899662 CAN1, ID=0x55a, DLC=8, 0x0, 0x2c, 0x2d, 0x0, 0x5f, 0x0, 0x3a, 0xc8
1737880060.4909627 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.4939563 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.4989452 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x56
1737880060.5019345 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.5039303 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.5069196 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x4, 0x8a
1737880060.5079215 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x5c
1737880060.509914 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.5149014 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.5178916 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7b
1737880060.5198865 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.5248735 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.526907 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x5, 0x8b
1737880060.5278652 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0xfa
1737880060.5288627 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x35
1737880060.5308576 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x71
1737880060.5328515 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.536844 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.5378377 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x56
1737880060.539832 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.5448184 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.5468128 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x6, 0x8c
1737880060.5478132 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x5c
1737880060.5508041 CAN1, ID=0x54a, DLC=8, 0x12, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880060.552799 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737880060.5537965 CAN1, ID=0x54c, DLC=8, 0x77, 0xff, 0x0, 0x0, 0x0, 0xf8, 0x54, 0x0
1737880060.5547938 CAN1, ID=0x54f, DLC=8, 0x33, 0x0, 0x0, 0x0, 0x4, 0x0, 0xce, 0x45
1737880060.5557888 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.5568259 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.5607815 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7b
1737880060.5617764 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.56277 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x1
1737880060.5647666 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfd, 0xff, 0xff, 0xff, 0xfe, 0x0
1737880060.5667658 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.5707874 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x7, 0x8d
1737880060.5717483 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x71
1737880060.5727458 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.574951 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.5779483 CAN1, ID=0x56e, DLC=1, 0x46, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.5795374 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x56
1737880060.5810509 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.583046 CAN1, ID=0x5b9, DLC=7, 0x11, 0x30, 0x62, 0x24, 0x28, 0xa4, 0x0, 0xa
1737880060.58405 CAN1, ID=0x45e, DLC=1, 0x0, 0x30, 0x62, 0x24, 0x28, 0xa4, 0x0, 0xa
1737880060.5860753 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.5903628 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x8, 0x8e
1737880060.5913863 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x5c
1737880060.5923567 CAN1, ID=0x55a, DLC=8, 0x0, 0x2c, 0x2d, 0x0, 0x5f, 0x0, 0x3a, 0xc8
1737880060.5933533 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.5953496 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.5985296 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7b
1737880060.6015167 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.6037815 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.6061983 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x9, 0x8f
