1737880060.5119076 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.5129042 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.5218828 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.5228777 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.534846 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.5358446 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.5428288 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.5438278 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.5577886 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.5587842 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.56776 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.5687554 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.5759552 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.5769515 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.5878367 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.588848 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.5953496 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.5975316 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.6055613 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.6072052 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.6102376 CAN0, ID=0x55b, DLC=8, 0x29, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x32, 0x9
1737880060.617174 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.619169 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.6296809 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.6316764 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.641594 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.6425912 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.65595 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.657984 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.6656091 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.667598 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.6733632 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.6743412 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
