1737879739.458411 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.4594111 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.4604049 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
1737879739.4643927 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.465233 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x86
1737879739.4662378 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x7, 0x46, 0x21, 0xc0
1737879739.4672368 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.4727106 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.47371 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf5, 0x7b
1737879739.4757016 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x87
1737879739.4766982 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x47, 0x46, 0x21, 0x7
1737879739.477696 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.4816825 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x3, 0x0, 0x80, 0x0, 0xfa
1737879739.482681 CAN1, ID=0x393, DLC=8, 0x0, 0x20, 0x0, 0x0, 0x20, 0x0, 0x0, 0x36
1737879739.4836779 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.4856129 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.4873977 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
1737879739.488392 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.4923859 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
1737879739.49338 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf6, 0x7c
1737879739.4956784 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.4965398 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.4975429 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
1737879739.5027666 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.5037632 CAN1, ID=0x54a, DLC=8, 0x12, 0x80, 0x70, 0x6, 0x2e, 0x0, 0x0, 0x2a
1737879739.5047605 CAN1, ID=0x54b, DLC=8, 0x10, 0x49, 0x90, 0x12, 0x1c, 0x0, 0x0, 0x0
1737879739.5057588 CAN1, ID=0x54f, DLC=8, 0x2f, 0x4c, 0x0, 0x0, 0x4, 0x0, 0xce, 0x1c
1737879739.507754 CAN1, ID=0x54c, DLC=8, 0x71, 0xff, 0x40, 0x0, 0x0, 0x68, 0x54, 0x0
1737879739.508755 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x86
1737879739.5097477 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x7, 0x46, 0x21, 0xc0
1737879739.5107791 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.5147362 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.515731 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf7, 0x7d
1737879739.5167308 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x87
1737879739.517729 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x47, 0x46, 0x21, 0x7
1737879739.5187252 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.5197225 CAN1, ID=0x56e, DLC=1, 0x46, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.523714 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.5257065 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.5267024 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
