1737880438.566278 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.5682733 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.5842307 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.587224 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.5952032 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.5961978 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.610161 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.6121569 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.6191423 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.6211317 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.6291103 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.6311052 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.6410868 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.6420796 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.6500552 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.6530514 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.6610281 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.6630197 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.671996 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.6759856 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.6779804 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x32, 0x24
1737880438.6849618 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.6869614 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.6989238 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.700918 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.713884 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.7158773 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.7228603 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.7238586 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.7328324 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.7338293 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.7428055 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.743842 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.752783 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.753787 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.762753 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.7637534 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.7717295 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.7747219 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.7797084 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.781702 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.783736 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x33, 0xa1
1737880438.793674 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.793674 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.80464 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.8076365 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.813658 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.814615 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.8176472 CAN0, ID=0x59e, DLC=8, 0x0, 0x0, 0xc, 0x0, 0xf0, 0x0, 0x0, 0x0
1737880438.819607 CAN0, ID=0x5c0, DLC=8, 0x40, 0x0, 0x3c, 0x0, 0x65, 0x18, 0x1, 0xf
1737880438.8245916 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.8255856 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.833565 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.8345993 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.8435366 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.8455338 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.8535144 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.8555095 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.8634849 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.864481 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.8714635 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.8724613 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.882434 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.882434 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.8854282 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x30, 0xab
1737880438.8944075 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.8964386 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.9083664 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.9093635 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.9163425 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.917342 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.9333398 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.9352927 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.9492562 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.9512503 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880438.9582303 CAN0, ID=0x7bb, DLC=8, 0x10, 0x29, 0x61, 0x1, 0x0, 0x0, 0x8, 0x68
1737880438.9592288 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880438.960225 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880438.9721928 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x1, 0x7
1737880438.9741945 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880438.982205 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x2, 0xd
1737880438.983163 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880438.9871528 CAN0, ID=0x7bb, DLC=8, 0x21, 0x2, 0x89, 0xff, 0xff, 0xfe, 0x79, 0xff
1737880438.9971278 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x3, 0x88
1737880438.9991214 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880439.0051057 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0xf, 0x0, 0x0, 0x82
1737880439.0071013 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880439.010096 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0x55, 0x0, 0x0, 0x0, 0x31, 0x69
1737880439.0110886 CAN0, ID=0x7bb, DLC=8, 0x22, 0xff, 0xff, 0xff, 0xf, 0x62, 0x21, 0x52
1737880439.0180714 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x1, 0x23
1737880439.021064 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880439.0264778 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x2, 0x29
1737880439.0287097 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880439.0309193 CAN0, ID=0x7bb, DLC=8, 0x23, 0x0, 0x0, 0x0, 0x0, 0x3, 0xbd, 0x0
1737880439.0424185 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x3, 0xac
1737880439.045457 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880439.0514038 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x0, 0xa6
1737880439.0524049 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880439.0543957 CAN0, ID=0x7bb, DLC=8, 0x24, 0x5c, 0x24, 0xe2, 0x0, 0x2, 0x5d, 0x78
1737880439.0613754 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x1, 0x23
1737880439.0623765 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880439.0683599 CAN0, ID=0x7bb, DLC=8, 0x25, 0x0, 0x7, 0x7c, 0x92, 0x80, 0x0, 0x0
1737880439.077334 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x2, 0x29
1737880439.078331 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880439.0843544 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x3, 0xac
1737880439.086315 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xa0
1737880439.0893004 CAN0, ID=0x7bb, DLC=8, 0x26, 0x0, 0x0, 0xff, 0xff, 0xff, 0xff, 0xff
1737880439.0972795 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x0, 0xa6
1737880439.098276 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x7b
1737880439.1052616 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x1, 0x23
1737880439.1072562 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x3
1737880439.1182246 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xac, 0x2b, 0xf, 0x0, 0x2, 0x29
1737880439.1202233 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x61
1737880439.1232123 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0x55, 0x0, 0x0, 0x0, 0x32, 0x63
1737880439.129195 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x3, 0xec
1737880439.1301928 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880439.1421616 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x0, 0xe6
1737880439.1451538 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880439.1521366 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x1, 0x63
1737880439.1541278 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880439.161108 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x2, 0x69
1737880439.1621053 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880439.1701376 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x3, 0xec
1737880439.1710818 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880439.1800573 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x0, 0xe6
1737880439.182054 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880439.189035 CAN0, ID=0x7bb, DLC=8, 0x10, 0x10, 0x61, 0x4, 0x1, 0xc2, 0x14, 0x1
1737880439.190031 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x1, 0x63
1737880439.1920261 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880439.2050173 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x2, 0x69
1737880439.2070215 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880439.2099817 CAN0, ID=0x7bb, DLC=8, 0x21, 0xc5, 0x15, 0x2, 0xc5, 0x0, 0x2, 0xc5
1737880439.2169607 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x3, 0xec
