1737880438.4001725 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x13
1737880438.4031813 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0xc0, 0x0, 0x0, 0x1c
1737880438.4071944 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x0, 0x2
1737880438.409149 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0xe1, 0x4f
1737880438.4121437 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880438.4174163 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x1, 0x3
1737880438.419122 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880438.42112 CAN1, ID=0x54a, DLC=8, 0x12, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880438.4221165 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737880438.4241455 CAN1, ID=0x54f, DLC=8, 0x14, 0x0, 0x0, 0x0, 0x4, 0x80, 0xc0, 0x14
1737880438.425143 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880438.427104 CAN1, ID=0x54c, DLC=8, 0x59, 0xff, 0x0, 0x0, 0x0, 0xf8, 0xff, 0x0
1737880438.4300988 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x2, 0x4
1737880438.4306006 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880438.4326386 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880438.4375873 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x3, 0x5
1737880438.4385889 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880438.4446096 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880438.445567 CAN1, ID=0x56e, DLC=1, 0x46, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880438.4475343 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x0, 0x2
1737880438.4485416 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880438.4535356 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880438.4575121 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x1, 0x3
1737880438.4585116 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880438.4625413 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880438.465494 CAN1, ID=0x1da, DLC=8, 0xff, 0x0, 0x0, 0x0, 0x7f, 0xfe, 0x1, 0x97
1737880438.4684837 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880438.4736285 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880438.4766214 CAN1, ID=0x1da, DLC=8, 0xff, 0x0, 0x0, 0x0, 0x7f, 0xfe, 0x2, 0x9d
1737880438.4776216 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880438.4796188 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0xa
1737880438.4806135 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfd, 0xff, 0xff, 0xff, 0xfe, 0x0
1737880438.481609 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880438.4866052 CAN1, ID=0x1da, DLC=8, 0x2, 0x40, 0x0, 0x0, 0x7f, 0xfe, 0x3, 0xc6
1737880438.4875968 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880438.4925778 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880438.496606 CAN1, ID=0x1da, DLC=8, 0x2, 0x40, 0x0, 0x0, 0x7f, 0xfe, 0x0, 0xcc
1737880438.498549 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880438.4995525 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0x2d
1737880438.500549 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x24
1737880438.5035424 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880438.507154 CAN1, ID=0x1da, DLC=8, 0x2, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7c
